# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2017-03-03,-1,,,0,UNDEF,UNDEF
2017-03-06,-1,,,0,UNDEF,UNDEF
2017-03-07,1,0.3013,0.4167,1,FRESH,FRESH
2017-03-08,1,0.8299,0.8322,1,FRESH,FRESH
2017-03-09,1,0.1961,0.2824,2,FRESH,FRESH
2017-03-10,-1,,,0,UNDEF,UNDEF
2017-03-13,,,,,,
2017-03-14,,,,,,
2017-03-15,1,0.2708,0.3191,3,FRESH,FRESH
2017-03-16,-1,,,0,UNDEF,UNDEF
2017-03-17,-1,,,0,UNDEF,UNDEF
2017-03-20,-1,,,0,UNDEF,UNDEF
2017-03-21,1,0.7981,0.8519,1,FRESH,FRESH
2017-03-22,1,0.0000,0.2560,1,FRESH,FRESH
2017-03-23,-1,,,0,UNDEF,UNDEF
2017-03-24,,,,,,
2017-03-27,-1,,,0,UNDEF,UNDEF
2017-03-28,1,1.0857,1.1143,4,MID,MID
2017-03-29,,,,,,
2017-03-30,0,0.0657,0.1898,2,OPPOSED,OPPOSED
2017-03-31,,,,,,
2017-04-03,,,,,,
2017-04-04,-1,,,0,UNDEF,UNDEF
2017-04-05,1,0.6405,0.6471,1,FRESH,FRESH
2017-04-06,-1,,,0,UNDEF,UNDEF
2017-04-07,-1,,,0,UNDEF,UNDEF
2017-04-10,0,0.4070,0.4070,5,OPPOSED,OPPOSED
2017-04-11,,,,,,
2017-04-12,,,,,,
2017-04-13,1,1.5610,1.5915,2,MID,MID
2017-04-17,,,,,,
2017-04-18,1,0.9194,1.1398,1,FRESH,MID
2017-04-19,,,,,,
2017-04-20,1,0.0000,0.0340,1,FRESH,FRESH
2017-04-21,1,0.0000,0.0099,1,FRESH,FRESH
2017-04-24,,,,,,
