# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2018-07-27,CLEAN|SPENT,0.41,0.41,0,1.9700,1
2018-07-30,FO,-5.01,-1.32,1,-1.1000,0
2018-07-31,CLEAN|FRESH,-4.05,-4.05,0,0.4900,0
2018-08-02,POKED|FRESH,6.66,-0.62,1,-0.4000,1
2018-08-03,FO,-4.12,-4.12,0,0.3100,0
2018-08-06,POKED|FRESH,5.61,5.61,0,0.2100,1
2018-08-08,FO,-3.6,-0.06,1,-0.0600,0
2018-08-09,CLEAN|FRESH,-3.3,-1.09,1,-1.0900,0
2018-08-10,FO,-2.47,-2.47,,,0
2018-08-13,FO,4.09,4.09,0,2.1700,1
2018-08-15,FO,11.6,-1.65,1,-1.4100,1
2018-08-20,FO,2.85,-0.83,1,-0.8300,0
2018-08-21,FO,-5.1,-0.4,1,-0.4000,0
2018-08-22,CLEAN|SPENT,0.11,-1.23,1,-1.2300,1
2018-08-23,FO,4.18,4.18,0,0.9400,0
2018-08-27,POKED|SPENT,2.08,2.08,0,3.3000,0
2018-08-28,POKED|FRESH,-4.45,-4.45,0,0.3200,0
2018-08-29,POKED|SPENT,-4.04,-3.29,1,-3.2900,0
2018-09-04,POKED|FRESH,3.45,3.45,0,2.1100,1
2018-09-06,FO,-3.45,-3.45,,,0
2018-09-10,FO,-4.38,-0.38,1,-0.1600,0
2018-09-11,CLEAN|FRESH,1.48,1.48,0,2.7400,1
2018-09-13,POKED|SPENT,1.11,1.11,0,3.5000,1
2018-09-14,FO,-4.71,-1.58,1,-1.5800,0
2018-09-18,POKED|FRESH,-4.79,-4.79,0,0.0800,0
2018-09-19,POKED|FRESH,0.71,0.71,0,0.2800,0
2018-09-20,CLEAN|SPENT,-3.53,-0.39,1,-0.3900,0
2018-09-21,POKED|FRESH,-3.43,-1.04,1,-1.0400,0
2018-09-24,CLEAN|FRESH,-3.6,-3.6,0,0.4900,0
2018-09-27,CLEAN|FRESH,6.68,-0.88,1,-0.6900,1
2018-09-28,POKED|FRESH,-3.3,-3.3,0,0.4600,0
2018-10-01,FO,-2.11,-2.11,0,0.7600,0
2018-10-02,CLEAN|FRESH,10.25,10.25,0,5.2800,1
2018-10-04,POKED|FRESH,1.51,1.51,0,0.9400,1
2018-10-05,FO,1.18,1.18,0,2.0200,1
2018-10-09,CLEAN|FRESH,0.01,0.01,0,0.7500,1
2018-10-10,POKED|FRESH,0.07,-0.69,1,-0.4600,1
2018-10-15,FO,4.95,-1.04,1,-1.0400,1
2018-10-16,CLEAN|FRESH,-3.06,-0.34,1,-0.3400,0
2018-10-17,CLEAN|SPENT,-2.74,-2.74,0,0.9100,0
2018-10-18,CLEAN|SPENT,-2.87,-2.87,,,0
2018-10-19,FO,-3.62,-0.82,1,-0.8200,0
2018-10-25,FO,-4.83,-0.26,1,-0.2600,0
2018-10-30,FO,1.82,-0.51,1,-0.2200,1
2018-10-31,FO,-0.43,-1.69,1,-1.3800,0
2018-11-02,CLEAN|SPENT,-3.31,-0.41,1,-0.4100,0
2018-11-06,FO,-3.18,-1.51,1,-1.5100,0
2018-11-08,CLEAN|FRESH,-4.67,-2.74,1,-2.4500,0
2018-11-09,CLEAN|FRESH,8.53,-0.6,1,-0.3100,1
2018-11-12,FO,-0.09,-0.69,1,-0.4300,1
2018-11-13,POKED|FRESH,-1.74,-1.74,0,1.8100,0
2018-11-14,FO,0.58,-1.52,1,-1.2100,1
2018-11-15,FO,-3.98,-0.12,1,-0.1200,0
2018-11-16,CLEAN|FRESH,4.02,-0.37,1,-0.3700,1
2018-11-19,POKED|FRESH,-0.72,-1.68,1,-1.6800,0
2018-11-20,POKED|FRESH,-3.42,-0.5,1,-0.5000,0
2018-11-21,CLEAN|FRESH,4.44,4.44,0,0.1100,1
2018-11-22,FO,-1.16,-0.31,1,-0.3100,0
2018-11-26,POKED|SPENT,-0.77,-0.92,1,-0.6300,0
2018-11-27,CLEAN|FRESH,-2.62,-0.81,1,-0.5200,0
2018-11-28,CLEAN|FRESH,-3.05,-3.05,,,0
